,CI_Cat,CI_Subcat,Impact,Urgency,Priority,Category,No_of_Reassignments,Closure_Code,Handle_Time_hrs,Ticket_Age,Open_Hour,Open_Day,Open_Month,Open_Year,Is_Weekend,is_network,is_app
0,subapplication,Web Based Application,4,4,4.0,incident,26.0,Other,15312.316666666668,638,13,6,2,2012,True,0,1
1,application,Web Based Application,3,3,3.0,incident,33.0,Software,15116.866666666667,629,15,0,3,2012,False,0,1
2,application,Desktop Application,4,3,4.0,request for information,3.0,No error - works as designed,15722.616666666667,655,12,3,3,2012,False,0,1
3,application,Web Based Application,4,4,4.0,incident,13.0,Operator error,11637.7,484,11,1,7,2012,False,0,1
4,application,Web Based Application,4,4,4.0,incident,2.0,Other,10922.9,455,11,4,8,2012,False,0,1
5,application,Web Based Application,4,4,4.0,incident,4.0,Other,10922.45,455,11,4,8,2012,False,0,1
6,application,Web Based Application,4,4,4.0,incident,2.0,Unknown,11972.7,498,14,2,8,2012,False,0,1
7,application,Web Based Application,4,4,4.0,incident,5.0,Other,10629.633333333333,442,16,2,8,2012,False,0,1
8,application,Web Based Application,4,3,4.0,incident,2.0,Other,10462.05,435,15,2,8,2012,False,0,1
9,application,Web Based Application,4,4,4.0,incident,2.0,No error - works as designed,10342.516666666666,430,16,0,9,2012,False,0,1
10,application,Web Based Application,4,4,4.0,incident,6.0,Software,9913.45,413,12,4,9,2012,False,0,1
11,application,Web Based Application,4,4,4.0,incident,8.0,Software,9675.55,403,10,0,10,2012,False,0,1
12,application,Web Based Application,4,4,4.0,incident,5.0,Software,11757.433333333332,489,12,1,10,2012,False,0,1
13,application,Web Based Application,4,4,4.0,incident,17.0,Software,9477.716666666667,394,15,0,10,2012,False,0,1
14,application,Server Based Application,3,3,3.0,incident,1.0,Data,10075.85,419,14,3,10,2012,False,0,1
15,application,Web Based Application,4,4,4.0,incident,3.0,Other,9146.95,381,12,1,10,2012,False,0,1
16,subapplication,Web Based Application,4,4,4.0,incident,1.0,Other,9455.633333333333,393,11,2,11,2012,False,0,1
17,subapplication,Web Based Application,4,4,4.0,incident,7.0,Unknown,7889.466666666666,328,15,2,12,2012,False,0,1
18,application,Desktop Application,3,3,3.0,incident,17.0,Other,8588.083333333334,357,14,4,12,2012,False,0,1
19,application,Web Based Application,5,5,5.0,incident,5.0,Other,11351.6,472,14,0,12,2012,False,0,1
20,application,Web Based Application,4,4,4.0,incident,6.0,Referred,7793.3,324,16,0,12,2012,False,0,1
21,application,Web Based Application,4,4,4.0,incident,4.0,Software,9095.416666666666,378,15,1,1,2013,False,0,1
22,application,Web Based Application,4,4,4.0,incident,2.0,Other,6958.283333333334,289,16,1,1,2013,False,0,1
23,application,Web Based Application,4,4,4.0,incident,12.0,No error - works as designed,6936.716666666666,289,14,2,1,2013,False,0,1
24,subapplication,Web Based Application,4,4,4.0,incident,7.0,Software,8683.933333333332,361,16,2,1,2013,False,0,1
25,subapplication,Web Based Application,4,4,4.0,incident,3.0,Other,9039.633333333333,376,17,3,1,2013,False,0,1
26,application,Web Based Application,4,4,4.0,incident,4.0,Other,7968.733333333334,332,14,0,2,2013,False,0,1
27,application,Server Based Application,5,5,5.0,request for information,0.0,No error - works as designed,6071.883333333333,252,14,2,2,2013,False,0,1
28,application,Server Based Application,5,5,5.0,request for information,11.0,Other,6028.883333333333,251,10,4,2,2013,False,0,1
29,application,Server Based Application,5,5,5.0,request for information,2.0,Other,6938.016666666666,289,11,0,2,2013,False,0,1
